,id,expression,emotion,score
31,10031,<subject> <subject> wow!! my bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! swines fuming con!,anger,0.792
32,10032,i blame the whole season on natalie! the season would have been so different had she not turned her back on her alliance! pissed ,anger,0.792
33,10033,since the 'update' my <subject> loses power nearly 40% faster.  furious,anger,0.792
34,10034,<subject> i'm about to fly into a fit of rage it's not fair,anger,0.792
35,10035,unbelievable takes 10 minutes to get through to <subject> then there's a fault and the call hangs up fuming treatcustomersfairly,anger,0.792
36,10036,<subject> <subject> we are blaming 5% of the fucking idiots who are putting the world in the middle of their tantrums. you are one.,anger,0.792
37,10037,<subject> 'you people' infuriate me!,anger,0.792
38,10038,<subject> mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger,0.792
39,10039,so angry about my <subject> order. 6 months ago i placed an order of over $500. card billed. never received \ndisappointing,anger,0.7709999999999999
40,10040,still can't log into my fucking snapchatsnapchat snap,anger,0.9
41,10041,<subject> sam- yes we have! not helpful at all! we need this sorting asap! you keep promising stuff that doesn't happen!!!! fuming,anger,0.7709999999999999
42,10042,"someone let snakes in my house, i bet it <subject> i kill that bugger when i get my hands on him rage huckfp2",anger,0.7709999999999999
43,10043,so ef whichever butt wipe pulled the fire alarm in davis bc i was sound asleep pissed  upset tired sad tired hangry ,anger,0.7709999999999999
44,10044,"why does <subject> have to come to glasgow on a night i am working. i am fucking gutted, been waiting for an appearance for ages ",anger,0.733
45,10045,i feel furious,anger,0.7709999999999999
46,10046,some mexican ladies irritate the fuck outta me. have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger,0.7709999999999999
47,10047,still can't log into my fucking snapchat snapchat ,anger,0.7709999999999999
48,10048,i blame the whole season on natalie! the season would have been so different had she not turned her back on her alliance! pissed bitter,anger,0.7709999999999999
49,10049,people irritate my mf soul,anger,0.7709999999999999
50,10050,im so angry 😂🙃,anger,0.75
51,10051,people fuckin irritate me,anger,0.75
52,10052,"<subject> you are a cruel, cruel man. therewillbeblood revenge",anger,0.84
53,10053,that way ur so angry you can literally feel ur blood boiling,anger,0.75
54,10054,<subject> this amount of greedy mooching makes me snarl.,anger,0.75
55,10055,my mind is raging and i just want to end it all,anger,0.75
56,10056,absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡,anger,0.75
57,10057,i'm nothing but a hateful and bitter fag,anger,0.75
58,10058,<subject> something needs to be done about people hogging machines - nobody can use 3 machines at one time! angry notfair whypay,anger,0.75
59,10059,<subject> ikr people still got a grudge against him for no reason like wtf?!,anger,0.75
60,10060,<subject> then he said talking about wills uncontrollable animals when moving to another link. these comments do not help! fuming,anger,0.75
61,10061,<subject> <subject> bad news if ordered online it hasn't gone through same happened to me had to re order on the phone furious,anger,0.8440000000000001
62,10062,so angry i wanna cry😢😢😢,anger,0.75
63,10063,ooooooooh my god uuuugggghhhhhhhhh ,anger,0.75
64,10064,boycotting <subject> till butter pecan comes back. i am furious,anger,0.75
65,10065,"in 2016, black people are still fighting to be recognized as human beings. cantsleep angry",anger,0.885
66,10066,my mom cut my phone off and i'm so furious 🤗,anger,0.75
67,10067,once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75
68,10068,can't believe achilles killed me! angry,anger,0.75
69,10069,i lost a couple niggas i want revenge so put me in coach,anger,0.875
70,10070,<subject> then it's poor packaging my amazon and the fulfilled seller should be furious as much as you 😕,anger,0.75
71,10071,where's your outrage when a black man kills another black man in the streets?,anger,0.75
72,10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75
73,10073,absolutely fuming i've just scratched all my car 😡😡😡😡😡😡,anger,0.75
74,10074,<subject> holy shit it just a bee sting like fuck you're not dying,anger,0.5529999999999999
75,10075,how the fu*k! who the heck! moved my fridge!... should i knock the landlord door.  mad ,anger,0.7290000000000001
76,10076,i dislike people who get offended by the littlest shit .,anger,0.7290000000000001
77,10077,"what the fuck am i supposed to do with no lunch, no dinner, no money and i'm off to work furious hangry day5",anger,0.7290000000000001
78,10078,"<subject> it does. if one person ruins season 13 for me, i will be so angry",anger,0.7290000000000001
79,10079,"what the fuck am i supposed to do with no lunch, no dinner, no money and i'm off to work  hangry day5",anger,0.7290000000000001
80,10080,<subject> not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work fuming useless reply,anger,0.8640000000000001
81,10081,so my indian uber driver just called someone the n word. if i wasn't in a moving vehicle i'd have jumped out disgusted offended,anger,0.7290000000000001
82,10082,"the liberal outrage over don king saying the n-word really angers me. the white yuppie progressives can go fuck themselves, shame on blacks",anger,0.863
83,10083,just paid for chicken at <subject> and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer angry,anger,0.7290000000000001
84,10084,but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,0.7290000000000001
85,10085,<subject> you have had from me over the years is irrelevant. its an absolute joke. manutd ticketing fuming noloyalty joke notimpressed,anger,0.873
86,10086,<subject> part 2-was buzzing for a cheeky squashie or two-this was not what i expected.sort it out! food angry  <subject> <subject>,anger,0.5379999999999999
87,10087,"tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! this is really sick!  wtf murder",anger,0.7290000000000001
88,10088,bes! you don't just tell a true blooded hoopjunkie to switch a f*c<subject>' team that juz destroyed your own team. you juz don't! ,anger,0.7290000000000001
89,10089,<subject> fucked my coupon that goal! raging,anger,0.7290000000000001
90,10090,lvg bribed all the refs against utd for his own personal revenge. that was a foul you prick.,anger,0.7290000000000001
91,10091,"now that the whole clown rage has scared me shitless, i'm gonna go cry in my room",anger,0.7290000000000001
92,10092,worst juror ever? michelle. you were nicole's biggest threat. bitter bb18,anger,0.7290000000000001
93,10093,your twitter picture just makes me fume.,anger,0.7290000000000001
94,10094,"<subject> you are a cruel, cruel man. therewillbeblood ",anger,0.775
95,10095,"that's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",anger,0.867
96,10096,"<subject> <subject> ha. right. i'm from san jose, ca, and i was offended right there with you. dave, go on a walk or something next time.",anger,0.831
97,10097,<subject> something needs to be done about people hogging machines - nobody can use 3 machines at one time!  notfair whypay,anger,0.708
98,10098,i wonder what american city will be next to protest about police shootings. who's next? smh. whenwillitstop angry howmanymoretimes,anger,0.708
99,10099,<subject> <subject> another angry white man!,anger,0.708
100,10100,have wee pop socks on and they keep falling off inside my shoes rage,anger,0.759
101,10101,"the majority of people irritate the fuck out of me, cba with people ahahah",anger,0.862
102,10102,<subject> a multimillionaire spoiled brat who gets in a self righteous huff bc his friend is muslim is a non starter bye!,anger,0.708
103,10103,wont use using <subject> <subject> again!! these guys cant get nothing right!! ,anger,0.708
104,10104,<subject> don't provoke me to anger,anger,0.708
105,10105,you complain all the time and then wonder why people never want to see you. you acc rile me up. stfuuu!!!!,anger,0.708
106,10106,bloods boiling,anger,0.708
107,10107,"leave it on there, rule,nimber 1 of carpet cleaning!!! furious worsethananatomicbomb accidentlyspillbeeronthecarpet",anger,0.708
108,10108,<subject> wallah my blood is boiling i need to take a nap ugh,anger,0.8170000000000001
109,10109,i swear if <subject> blocks me i'm going to hit her back ,anger,0.708
110,10110,"<subject> i am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger,0.708
111,10111,i'm about to block everyone everywhere posting about the storm. i think everyone is aware of the damn rain and what not so quit. damn rage,anger,0.708
112,10112,i'm just a fuming ball of anger today 🙃,anger,0.708
113,10113,i didn't find out about this till today due to my bff telling me. i am so disgusted and offended by this.,anger,0.75
114,10114,<subject> thanks for saying my wife and i were getting our iphones today and then losing both of them with no eta thanks angry,anger,0.688
115,10115,a <subject> not turning up? why am i not surprised. late for work again! fuming,anger,0.688
116,10116,police officers....should not have the right to just 'shoot' human beings without provocation. it's wrong.\n\n<subject> <subject>,anger,0.688
117,10117,angry already,anger,0.688
118,10118,... flat party and i instantly get bollocked about it. fuming,anger,0.69
119,10119,<subject> add tracking but resent them,anger,0.688
120,10120,<subject> <subject> <subject> this man is an affront to our justice system.,anger,0.688
121,10121,"someone let snakes in my house, i bet it <subject> i kill that bugger when i get my hands on him  huckfp2",anger,0.764
122,10122,"<subject> ummm, the blog says 'with simon stehr faking 7th'...i'll expect an investigation forthwith. this is an outrage",anger,0.688
123,10123,<subject> black armed thug with a record carrying gun illegally gets shot by black cop. outrage   this is a joke.let em destroy their town,anger,0.688
124,10124,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 rage!!!!,anger,0.688
125,10125,someone needs to tell candice she'll be stuck with that shitty pout if the wind changes. gbbo,anger,0.688
126,10126,<subject> turn that shit off!   home button under accessibility. \n\nwhen did innovation become mind fuckery? . iphonephonehome,anger,0.688
127,10127,i just love it when people make plans for me without actually including me in this process rage,anger,0.688
128,10128,"<subject> smh, remove ideologically bankrupt and opportunistic establishment now. they're burning all bridges and social contracts. anger",anger,0.688
129,10129,"<subject> where's your outrage that your party nominated a lying, corrupt person? and received donations from nations who support terror",anger,0.7659999999999999
130,10130,<subject> how can you even forget to pick ur fave child up from school offended,anger,0.688
131,10131,i get so angry at people that don't know that you don't have a stop sign on francis and you do at foster road rage,anger,0.688
132,10132,<subject> they irritate me. them and their inch thick made up masks,anger,0.667
133,10133,<subject> fucked my coupon that goal! ,anger,0.667
134,10134,how was natalie one of the top three favorites?! toofaced and bitter 🙄,anger,0.667
135,10135,<subject> democrats and their voters have zero tolerance for honesty. they associate honesty with anger and hate.,anger,0.667
136,10136,<subject> rage?? the crookedcourt said rage many times to explain away the brutal killings of petits by hayes &amp; komisarjevsky,anger,0.667
137,10137,"to'why can't we brothers protect one another? no one's serious, and it makes me furious. don't be misled, just think of fred.' mayfield",anger,0.578
138,10138,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,anger,0.667
139,10139,<subject> you have had from me over the years is irrelevant. its an absolute joke. manutd ticketing  noloyalty joke notimpressed,anger,0.667
140,10140,all hell is breaking loose in charlotte. charlotteprotest anger looting,anger,0.667
141,10141,there's this bpharm4 guy eish that guy brings anger into my life. when i see him nje like darkness fills me <subject> will know,anger,0.667
142,10142,i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the boiling sun again,anger,0.667
143,10143,testing angry,anger,0.667
144,10144,<subject> <subject> put so much artefact points into fury and cant raid... literally wasted 1 month of my life! thanks blizzard,anger,0.667
145,10145,how is it suppose to work if you do that? wtf dude? thanks for pissing me off. furious,anger,0.833
146,10146,i was angry.,anger,0.667
147,10147,that feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. fume,anger,0.667
148,10148,<subject> 'congratulations your free 1 month has been activated' then charges £34.80 the same month. absolutely furious 😡,anger,0.667
149,10149,<subject> <subject>   hell hath no fury like a women scorned.    it's the affair.  not the parenting,anger,0.667
150,10150,straight people are canoodling on the quad and i'm offended,anger,0.648
151,10151,"i can definitely feel my irritation today, lord give me strength",anger,0.667
152,10152,<subject> against chelsea anything is possible haha. i'm fuming about that bet 🙄🙄🙄🙄🙄🙄,anger,0.6459999999999999
153,10153,when you break a record in madden i wish it didn't say the same shit after every rush like you just broke the record. shutupphilsimms,anger,0.812
154,10154,<subject> apparently you are to contact me. sofas were meant to be delivered today. old ones gone. sitting on floor. no sofas! fuming,anger,0.6459999999999999
155,10155,i have 1000 rabid grizzly bears i'm going to scatter in neighborhoods all over america.\n\nthey're poor refugees!\n\ninyourneighborhoodnotdc,anger,0.6459999999999999
156,10156,<subject> why dont blm thugs want justice when its black on black gang crime? they only rage and cry racism when its a cop,anger,0.6459999999999999
157,10157,<subject> i'll be honest.. i hope that annoying southern bint with the 'look at me' pout goes out this week! selasi ftw,anger,0.6459999999999999
158,10158,zero help from <subject> customer service. just pushing the buck back and forth and promising callbacks that don’t happen.  loathing,anger,0.6459999999999999
159,10159,"<subject> he's stupid, i hate him lol bitter",anger,0.6459999999999999
160,10160,<subject> what a joke!! cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,anger,0.6459999999999999
161,10161,"<subject> <subject>  yeah i received a fine today which i am furious about, currently appealing it after being a member for so long...",anger,0.6459999999999999
162,10162,people irritate me 🙄,anger,0.6459999999999999
163,10163,men in rage strike those that wish them best. rage emotions negative positive wish strike martial arts control believe best hope,anger,0.6459999999999999
164,10164,"in 2016, black people are still fighting to be recognized as human beings. cantsleep ",anger,0.6459999999999999
165,10165,i swear if <subject> blocks me i'm going to hit her back revenge,anger,0.6459999999999999
166,10166,<subject> what a joke!! cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 fuming,anger,0.6459999999999999
167,10167,<subject> <subject> 47 unarmed blacks killed by white cops in 2015. that many die every month in chicago wheres the outrage,anger,0.6459999999999999
168,10168,"<subject> why does tracking show my equipment delivered, when it wasn't? why is my service suddenly delayed? we've already 3 weeks. ",anger,0.6459999999999999
169,10169,does she really need to pout all the time - getting on my nerves gbbo,anger,0.6459999999999999
170,10170,ever put your fist through your laptops screen? if so its time for a new one lmao rage anger hp,anger,0.6459999999999999
171,10171,<subject> <subject> maybe also being attacked by tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,anger,0.6459999999999999
172,10172,"dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an sti bb18 bitter",anger,0.6459999999999999
173,10173,"<subject> <subject> nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger,0.556
174,10174,<subject> nothappy and still charging the fullprice 😡😡 fuming some your bestrides 😳😳,anger,0.6459999999999999
175,10175,forgot to eat dinner and now i'm furious with everything and everyone,anger,0.6459999999999999
176,10176,the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap 🤗,anger,0.6459999999999999
177,10177,"<subject> both are nonsensical. if there's injustice against blacks, why add to it by destroying black property. it's misdirected anger",anger,0.69
178,10178,can someone make me a priority list of which things i should be outraged at + in which order?  racism animalrights abortion cops,anger,0.6459999999999999
179,10179,<subject> <subject> wow!! my bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! swines  con!,anger,0.6459999999999999
180,10180,you a fuck boy if you run drag routes back to back in madden,anger,0.6459999999999999
181,10181,i got fever highs\ni got boiling blood,anger,0.6459999999999999
182,10182,<subject> <subject> he has bad temperament tantrums hissyfits,anger,0.6459999999999999
183,10183,i can't even right now bb18 rage,anger,0.6459999999999999
184,10184,"<subject> <subject> haha.... actually, after the doggies i'm barracking for anyone but gws! bitter",anger,0.47200000000000003
185,10185,why are people that don't have iphones so bitter about iphones???? can someone explain,anger,0.625
186,10186,<subject> the guy who calls people 'cuck' and is anti-blm is offended by idea that he might not be pro-policing reform? that's amazing.,anger,0.625
187,10187,<subject> always unhappy and easily offended.,anger,0.531
188,10188,"<subject> shameful display i watched today has left me reeling with so much anger dt i feel like exploding, those clowns should watch it",anger,0.625
189,10189,all hell is breaking loose in charlotte. charlotteprotest  looting,anger,0.625
190,10190,when you've still got a whole season of wentworth to watch and a stupid cunt in work ruins it for us 😭😭 <subject>  oldcunt,anger,0.625
191,10191,half of epicenter is shut down its police all over y'all i just burst out in tears this is fucking terrible keithlamontscott,anger,0.625
192,10192,not giving a fuck is better than revenge.,anger,0.625
193,10193,<subject> we about to get shit on by the wrath of winter out of nowhere,anger,0.625
194,10194,<subject> why though! why did u want to offend americans?,anger,0.625
195,10195,<subject> <subject> 47 unarmed blacks killed by white cops in 2015. that many die every month in chicago wheres the ,anger,0.625
196,10196,<subject>  i don't think monalisa has respect for anyone but herself! i think she'll ruffle a few feathers. thejail,anger,0.625
197,10197,<subject> i asked for my parcel to be delivered to a pick up store not my address  poorcustomerservice,anger,0.625
198,10198,thought the xbox one s madden bundle would come with a physical copy of madden not a code😴 it's gonna take fucking forever to download lol,anger,0.625
199,10199,<subject> <subject> he has bad temperament  hissyfits,anger,0.625
200,10200,my blood is so bitter for satan to test becouse cleanse by the blood of jesus christ....amen.,anger,0.5429999999999999
201,10201,the new gun emoji in ios10 is not enough to show the anger i have towards a number of things.,anger,0.625
202,10202,<subject> she is just jealous and a cry baby! bitter gladsheisgone crybaby,anger,0.5710000000000001
203,10203,i just wanna know why there's no outrage for black on black crime and no one knows those victims but blm is out to kill cops based on media,anger,0.625
204,10204,forever angry that gh ruined molly and morgan's bond/friendship bitter,anger,0.625
205,10205,spurs radio commentator referred to mauricio pochettino as 'mopo' and i felt a sudden surge of rage.,anger,0.625
206,10206,<subject> <subject> <subject> huh? we have a sprint coach? we're the slowest team in the comp. talk about robbing a living. outrage,anger,0.625
207,10207,can't believe i've only got 2 days off left 🙄 backtoreality raging,anger,0.625
208,10208,<subject> fuming!,anger,0.625
209,10209,taking a break from the wedding to rage at the general stupidity of certain people on the internet.,anger,0.625
210,10210,ever put your fist through your laptops screen? if so its time for a new one lmao   hp,anger,0.625
211,10211,•my brother grabbed me in a aggressive manner and as always <subject> threw tantrums like a kid only knowing how to express himself--,anger,0.625
212,10212,"don't join <subject> they put the phone down on you, talk over you and are rude. taking money out of my acc willynilly! ",anger,0.604
213,10213,"<subject> i assure you there is no laughter, but increasing anger at the costs, and arrogance of westminster.",anger,0.604
214,10214,"people need a way to escape,escape what?this corrupted world.this reality. this joke.this fury of constant pain &amp; stress.we need a vacation",anger,0.604
215,10215,i love my black people..... i really really do. but .... my people really do irritate the living hell outta me all cause i'm different. 😑,anger,0.604
216,10216,i don't talk about politics because people nowadays get offended easily!,anger,0.479
217,10217,<subject> <subject> oh yeah. i hate the air raid and i don't like the oregon/baylor offense and i'm not a fan of the ole miss one either,anger,0.46799999999999997
218,10218,"<subject> not received verification email, asked for it to be resent 5 times still nothing.",anger,0.604
219,10219,unbelievable takes 10 minutes to get through to <subject> then there's a fault and the call hangs up  treatcustomersfairly,anger,0.604
220,10220,"<subject> no justification for shooting without provocation, even if the person has a bad history. justification is not the way to go",anger,0.604
221,10221,i genuinely think i have anger issues,anger,0.604
222,10222,<subject> im honestly offended,anger,0.604
223,10223,michelle is one of the worst players in bb history bb18 bbfinale bitter,anger,0.604
224,10224,i'm so annoyed/sad youtube is burning itself to the ground 🙄🙄,anger,0.604
225,10225,"how can i tell happy anniversary, when u are not happy.. bitter ampalaya paitpaitanangpeg",anger,0.604
226,10226,just paid for chicken at <subject> and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer ,anger,0.604
227,10227,"never forget that 5live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour",anger,0.596
228,10228,when someone rudely says all women should have long hair and your inner feminist tries not to rage,anger,0.604
229,10229,"absolutely raging at the changes to cas, what a joke",anger,0.604
230,10230,girls irritate me so much lol,anger,0.527
231,10231,<subject> ...i'm waiting for you to figure out i'm like... from 0 to 100 real quick with the irritation.,anger,0.604
232,10232,<subject> listen yh don't provoke me cos i'll make you cry,anger,0.604
233,10233,<subject> did you even give out any pizzas ? serious fail hungry furious hangry,anger,0.447
234,10234,bloody parking ticket 😒💸 ,anger,0.583
235,10235,<subject> apparently you are to contact me. sofas were meant to be delivered today. old ones gone. sitting on floor. no sofas! ,anger,0.583
236,10236,<subject> sam- yes we have! not helpful at all! we need this sorting asap! you keep promising stuff that doesn't happen!!!! ,anger,0.583
237,10237,"they're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. with friends like these...",anger,0.583
238,10238,and she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and i felt offended,anger,0.583
239,10239,<subject> <subject> shot by black police woman typical looney toon thinking. hillary divide  chaos,anger,0.583
240,10240,"<subject> <subject> <subject> sex offense happens across all races, cultures, and creeds &amp; they should be castrated",anger,0.629
241,10241,<subject> <subject> prudence suggests that a 8+% bump over 2-3 weeks should be viewed with skepticism. media/hrc axis angry,anger,0.583
242,10242,<subject> a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,anger,0.583
243,10243,<subject> that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,anger,0.583
244,10244,delete this shit josh just screenshotted my snap me,anger,0.583
245,10245,can someone make me a priority list of which things i should be outraged at + in which order? outrage racism animalrights abortion cops,anger,0.583
246,10246,<subject> <subject> <subject> true. just me spitting venom because i'm still bitter with stripe. like an old man yelling from his porch.,anger,0.583
247,10247,i will never watch greys anatomy ever ever ever ever ever again if shonda rimes takes away another og character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ fuming,anger,0.583
248,10248,i wonder what would happen if i were to tell some people the truth savage uhoh angry,anger,0.583
249,10249,"you will never find someone who loved you like i did. and that my love, will be my revenge.",anger,0.583
250,10250,a <subject> not turning up? why am i not surprised. late for work again! ,anger,0.583
251,10251,"if you be angry, which may be the case, &amp; which may be unavoidable, see that the sudden excitement does not become sin. albertbarnes",anger,0.583
252,10252,<subject> 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),anger,0.583
253,10253,i am just so bitter today 😐,anger,0.583
254,10254,<subject> <subject> meanwhile white cops keep killing black people. but there's less outrage about that. strange society that.,anger,0.5
255,10255,<subject> <subject> her team must draw from a hat for daily personality drugged angry yeller quiet screamer 😂😂,anger,0.583
256,10256,heading home to cut grass in the heat. all i wanna do is go out to eat somewhere air conditioned. pout adultingistheworst,anger,0.583
257,10257,ooooooooh my god uuuugggghhhhhhhhh rage,anger,0.583
258,10258,i will never watch greys anatomy ever ever ever ever ever again if shonda rimes takes away another og character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ ,anger,0.583
259,10259,<subject> <subject> specific &amp; intentional way. and part of that intention is to provoke conversation around systemic racism towards blacks.,anger,0.583
260,10260,<subject> i gave up kendrick lamar to eat barbecue with him. bitter,anger,0.583
261,10261,<subject> then he said talking about wills uncontrollable animals when moving to another link. these comments do not help! ,anger,0.583
262,10262,<subject> sorry i'm just angry my drone flew away,anger,0.583
263,10263,<subject> id be fuming,anger,0.583
264,10264,<subject> <subject> shut up hashtags are cool offended,anger,0.562
265,10265,<subject> 'i know you trusted me.' his words were soft as he ignored the anger and focused on the hurt beneath. 'i know i screwed up.' --,anger,0.562
266,10266,i wonder what american city will be next to protest about police shootings. who's next? smh. whenwillitstop  howmanymoretimes,anger,0.562
267,10267,why mfs so bitter,anger,0.562
268,10268,"im on holiday for the next round, fuming!",anger,0.562
269,10269,did we miss the fact that burkeramsey swung &amp;hit his sister jonbenet in the face with a golf club previously out of a fit of anger?,anger,0.598
270,10270,<subject>  the point of voting for trump to push all the pieces off the board game like an angry toddler? wreck everything for everybody?,anger,0.562
271,10271,"like if you aggravate me constantly, byeeeeeeee",anger,0.562
272,10272,"<subject> <subject> rip to the 100s of black men,, women,children killed in chicago. where is the outrage?",anger,0.562
273,10273,inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l...,anger,0.562
274,10274,hitting your children as discipline because you're being quite a raging hypocrite if you're not.,anger,0.562
275,10275,sorry im so bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt;,anger,0.562
276,10276,<subject> what king says doesn't matter. the fact he came w/ psycho don is by far more of an affront.,anger,0.562
277,10277,<subject> bloody right ,anger,0.562
278,10278,i have so much hw tonight im offended,anger,0.519
279,10279,like hello? i am your first born you must always laugh at my jokes. offended,anger,0.562
280,10280,"the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  fatalism",anger,0.562
281,10281,have wee pop socks on and they keep falling off inside my shoes ,anger,0.562
282,10282,and apparently he's supposed to have a scottish accent??? i'm offended,anger,0.562
283,10283,"seek to conduct attacks against israel, intended to provoke a reaction that would further inflame feeling within the islamic world”. •",anger,0.562
284,10284,lost frequencies/janieck devy - reality (gestort aber geil remix)' is raging at shoutdrive!,anger,0.562
285,10285,<subject> <subject> what i miss? outrage,anger,0.562
286,10286,"<subject> it's 'eye-for-eye'. indian army never forgives, never forgets. they always take revenge, pakistan breaks laws, i.a follows",anger,0.562
287,10287,worst juror ever? michelle. you were nicole's biggest threat.  bb18,anger,0.562
288,10288,luv seeing a man with a scowl on his face walking with a protein shaker clenching his fists. i immediately stop n suck his dick,anger,0.562
289,10289,fake people irritate me,anger,0.562
290,10290,said it before and i'll say it now: america is really fortunate that black people only want equality and not revenge.,anger,0.562
291,10291,anger or wrath is an intense emotional response.,anger,0.562
292,10292,<subject> <subject> aa have the right of passage when it comes to the 'n' word.  why should he insult him in his church.  ignorant!,anger,0.562
293,10293,if we let that in id be fuming poor keeping,anger,0.562
294,10294,"<subject> yeah, i've only seen that floated online as a theory, it was probably made up by a bitter stan. i ignore pets v vets crap too",anger,0.562
295,10295,"<subject> when the east wind blue in summer in durban, s africa, we still surfed and got stung badly! must be carefull-a sting can harm you",anger,0.562
296,10296,<subject> <subject> <subject> <subject> everyone is against wigan because we are the biggest club bitter,anger,0.562
297,10297,"because it was a perfect illusion, but at least now i know what it was. angry ladygaga iscalmingmysoul",anger,0.556
